TEAM," NAME"," EXPERIENCE"," URL"," POSITION"," AGE"," HT"," WT"," COLLEGE"," SALARY"," PPG_LAST_SEASON"," APG_LAST_SEASON"," RPG_LAST_SEASON"," PER_LAST_SEASON"," PPG_CAREER"," APG_CAREER"," RGP_CAREER"," GP"," MPG"," FGM_FGA"," FGP"," THM_THA"," THP"," FTM_FTA"," FTP"," APG"," BLKPG"," STLPG"," TOPG"," PPG"
Toronto Raptors,Malachi Richardson,2,http://www.espn.com/nba/player/_/id/3934663,SG,22,198.12,92.76,Syracuse,"1,569,360",3.4,0.5,1.3,5.91,3.5,0.5,1.2,48,10.9,1.2-3.3,.367,0.4-1.4,.294,0.7-0.9,.780,0.5,0.0,0.3,0.4,3.5
Toronto Raptors,Pascal Siakam,2,http://www.espn.com/nba/player/_/id/3149673,PF,24,205.74,104.07,New Mexico State,"1,544,951",7.3,4.5,0.5,14.54,6.0,4.0,0.6,136,18.7,2.6-5.2,.506,0.2-1.0,.216,0.6-0.9,.639,1.3,0.6,0.6,0.7,6.0
Toronto Raptors,Jonas Valanciunas,6,http://www.espn.com/nba/player/_/id/6477,C,26,213.36,119.91,-,"16,539,326",12.7,8.6,0.9,22.52,11.7,8.5,1.0,440,25.5,4.6-8.2,.558,0.1-0.2,.397,2.4-3.1,.785,0.7,1.0,0.4,1.5,11.7
Toronto Raptors,Fred VanVleet,2,http://www.espn.com/nba/player/_/id/2991230,PG,24,182.88,88.24,Wichita State,"8,653,847",8.6,3.2,2.4,15.90,6.8,2.5,2.0,113,16.1,2.4-5.8,.413,1.1-2.6,.410,0.9-1.1,.829,2.5,0.2,0.7,0.8,6.8
Toronto Raptors,Delon Wright,3,http://www.espn.com/nba/player/_/id/3064447,PG,26,195.58,82.81,Utah,"2,536,898",8.0,2.9,2.9,16.49,6.6,2.3,2.3,123,17.1,2.3-5.1,.455,0.6-1.6,.362,1.3-1.7,.797,2.3,0.4,0.9,1.0,6.6
Golden State Warriors,Jordan Bell,1,http://www.espn.com/nba/player/_/id/3064427,PF,23,205.74,101.36,Oregon,"1,378,242",4.6,3.6,1.0,18.00,4.6,3.6,1.0,57,14.2,2.0-3.2,.627,0.0-0.1,.000,0.5-0.8,.682,1.8,1.0,0.6,0.9,4.6
Golden State Warriors,Quinn Cook,2,http://www.espn.com/nba/player/_/id/2566745,PG,25,187.96,81.0,Duke,"1,544,951",9.5,2.7,2.5,12.88,8.3,2.4,1.9,47,19.7,3.3-6.8,.487,1.2-2.8,.438,0.5-0.6,.800,2.4,0.0,0.3,1.0,8.3
Golden State Warriors,DeMarcus Cousins,8,http://www.espn.com/nba/player/_/id/4258,C,28,210.82,122.17,Kentucky,"5,337,000",25.2,12.9,1.6,22.66,21.5,11.0,1.2,535,32.4,7.7-16.7,.460,0.6-1.7,.338,5.6-7.6,.737,3.2,1.2,1.4,3.6,21.5
Golden State Warriors,Stephen Curry,9,http://www.espn.com/nba/player/_/id/3975,PG,30,190.5,85.97,Davidson,"37,457,154",26.4,6.1,5.1,28.32,23.1,6.8,4.4,625,34.4,8.0-16.8,.477,3.4-7.8,.436,3.6-4.0,.903,6.8,0.2,1.8,3.2,23.1
Golden State Warriors,Marcus Derrickson,0,http://www.espn.com/nba/player/_/id/3934670,F,22,200.66,112.67,Georgetown,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden State Warriors,Kevin Durant,11,http://www.espn.com/nba/player/_/id/3202,SF,30,205.74,108.6,Texas,"30,000,000",26.4,5.4,6.8,26.05,27.1,3.9,7.1,771,37.1,9.2-18.8,.490,1.9-4.8,.384,6.9-7.8,.882,3.9,1.1,1.2,3.1,27.1
Golden State Warriors,Jacob Evans,0,http://www.espn.com/nba/player/_/id/3934621,SG,21,198.12,95.02,Cincinnati,"1,644,240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden State Warriors,Draymond Green,6,http://www.espn.com/nba/player/_/id/6589,PF,28,200.66,104.07,Michigan State,"17,469,565",11.0,7.6,1.3,16.10,9.3,6.9,1.1,467,27.7,3.3-7.6,.438,0.9-2.9,.327,1.7-2.3,.707,4.6,1.1,1.4,2.0,9.3
Golden State Warriors,Danuel House Jr.,2,http://www.espn.com/nba/player/_/id/2991155,SF,25,200.66,93.67,Texas A&M,Not signed,6.6,1.1,3.3,12.44,6.3,1.0,3.2,24,16.8,2.3-5.4,.434,0.6-2.4,.259,1.0-1.3,.806,1.0,0.3,0.3,0.5,6.3
Golden State Warriors,Andre Iguodala,14,http://www.espn.com/nba/player/_/id/2386,SG,34,198.12,97.29,Arizona,"16,000,000",6.0,3.3,3.8,11.22,12.6,4.4,5.2,1040,34.1,4.5-9.7,.465,0.9-2.7,.333,2.6-3.7,.713,4.4,0.5,1.5,2.0,12.6
Golden State Warriors,Jonas Jerebko,8,http://www.espn.com/nba/player/_/id/3998,PF,31,208.28,104.52,-,"1,512,601",5.8,3.3,0.2,13.25,6.2,4.0,0.2,562,18.0,2.3-5.1,.457,0.6-1.6,.363,0.9-1.2,.766,0.8,0.2,0.5,0.7,6.2
Golden State Warriors,Damian Jones,2,http://www.espn.com/nba/player/_/id/3064559,C,23,213.36,110.86,Vanderbilt,"1,544,951",1.7,0.9,0.2,6.88,1.8,1.5,0.3,25,7.0,0.8-1.5,.500,0.0-0.0,.000,0.2-0.6,.400,0.1,0.3,0.1,0.4,1.8
Golden State Warriors,Damion Lee,1,http://www.espn.com/nba/player/_/id/2595209,SG,25,198.12,95.02,Louisville,Not signed,10.7,1.9,4.7,12.08,10.7,1.9,4.7,15,26.9,4.1-10.1,.408,1.0-4.0,.250,1.5-1.9,.759,1.9,0.1,1.3,0.9,10.7
Golden State Warriors,Shaun Livingston,13,http://www.espn.com/nba/player/_/id/2393,PG,33,200.66,86.88,-,"8,307,692",5.5,2.0,1.8,11.64,6.5,3.1,2.4,769,21.1,2.7-5.5,.485,0.0-0.1,.183,1.1-1.4,.794,3.1,0.4,0.7,1.3,6.5
Golden State Warriors,Kevon Looney,3,http://www.espn.com/nba/player/_/id/3155535,SF,22,205.74,99.55,UCLA,"1,512,601",4.0,0.6,3.3,14.82,3.3,0.6,2.8,124,11.1,1.4-2.5,.560,0.0-0.1,.250,0.5-0.9,.568,0.6,0.6,0.4,0.4,3.3
Golden State Warriors,Alfonzo McKinnie,1,http://www.espn.com/nba/player/_/id/2530923,SF,26,203.2,97.29,Green Bay,Not signed,1.5,0.1,0.5,10.11,1.5,0.1,0.5,14,3.8,0.6-1.1,.533,0.2-0.6,.333,0.1-0.2,.667,0.1,0.1,0.1,0.2,1.5
Golden State Warriors,Kendrick Nunn,0,http://www.espn.com/nba/player/_/id/3056247,SG,23,190.5,87.33,Oakland,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden State Warriors,Klay Thompson,7,http://www.espn.com/nba/player/_/id/6475,SG,28,200.66,97.29,Washington State,"18,988,725",20.0,2.5,3.8,16.15,19.2,2.3,3.4,537,32.9,7.2-15.7,.458,2.9-6.9,.422,1.9-2.3,.852,2.3,0.5,0.9,1.7,19.2
LA Clippers,Jamel Artis,1,http://www.espn.com/nba/player/_/id/3059276,SG,25,200.66,96.38,Pittsburgh,Not signed,5.1,1.2,2.5,6.96,5.1,1.2,2.5,15,18.6,2.1-5.3,.392,0.5-1.9,.276,0.5-0.8,.583,1.2,0.2,0.1,0.5,5.1
LA Clippers,Patrick Beverley,6,http://www.espn.com/nba/player/_/id/3964,PG,30,185.42,83.71,Arkansas,"5,027,028",12.2,2.9,4.1,12.46,9.4,3.4,4.1,302,28.6,3.4-8.1,.413,1.7-4.4,.376,1.0-1.3,.767,3.4,0.4,1.3,1.4,9.4
LA Clippers,Avery Bradley,8,http://www.espn.com/nba/player/_/id/4240,SG,27,187.96,81.45,Texas,"12,000,000",14.3,2.0,2.5,9.71,12.3,1.7,3.0,459,28.4,5.0-11.3,.439,1.3-3.5,.366,1.1-1.4,.772,1.7,0.2,1.1,1.5,12.3
LA Clippers,Angel Delgado,0,http://www.espn.com/nba/player/_/id/3136479,C,23,208.28,110.86,Seton Hall,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA Clippers,Jawun Evans,1,http://www.espn.com/nba/player/_/id/3912854,PG,22,182.88,85.97,Oklahoma State,"1,378,242",4.8,2.1,1.8,7.23,4.8,2.1,1.8,48,16.2,1.9-5.3,.352,0.3-1.1,.278,0.8-1.0,.776,2.1,0.1,0.8,0.9,4.8
LA Clippers,Danilo Gallinari,9,http://www.espn.com/nba/player/_/id/3428,SF,30,208.28,101.81,-,"21,587,579",15.3,2.0,4.8,13.96,15.3,2.0,4.7,481,31.2,4.6-11.0,.419,1.8-4.9,.367,4.3-4.9,.865,2.0,0.4,0.8,1.3,15.3
LA Clippers,Shai Gilgeous-Alexander,0,http://www.espn.com/nba/player/_/id/4278073,PG,20,198.12,81.9,Kentucky,"3,375,360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA Clippers,Marcin Gortat,11,http://www.espn.com/nba/player/_/id/2758,C,34,210.82,108.6,-,"13,565,218",8.4,7.6,0.7,14.70,10.2,8.1,1.1,759,26.3,4.4-7.9,.552,0.0-0.0,.150,1.5-2.2,.678,1.1,1.1,0.5,1.2,10.2
LA Clippers,Montrezl Harrell,3,http://www.espn.com/nba/player/_/id/2991055,PF,24,203.2,108.6,Louisville,"6,000,000",11.0,4.0,0.7,24.73,8.7,3.4,0.6,173,15.8,3.6-5.7,.642,0.0-0.1,.133,1.4-2.2,.614,0.9,0.6,0.4,0.7,8.7
LA Clippers,Tobias Harris,7,http://www.espn.com/nba/player/_/id/6440,SF,26,205.74,106.33,Tennessee,"14,800,000",18.6,2.4,5.5,17.20,14.6,1.7,5.6,464,29.6,5.6-11.9,.467,1.1-3.2,.355,2.4-2.9,.812,1.7,0.5,0.8,1.3,14.6
LA Clippers,Wesley Johnson,8,http://www.espn.com/nba/player/_/id/4247,SF,31,200.66,97.29,Syracuse,"6,134,520",5.4,0.8,2.9,9.81,7.2,1.1,3.2,571,22.7,2.8-6.8,.406,1.0-3.1,.337,0.6-0.8,.743,1.1,0.7,0.8,0.9,7.2
LA Clippers,Boban Marjanovic,3,http://www.espn.com/nba/player/_/id/4376,C,30,220.98,131.22,-,"7,000,000",6.0,3.7,0.3,25.98,5.6,3.7,0.4,128,8.9,2.0-3.5,.564,0.0-0.0,.000,1.6-2.1,.784,0.4,0.4,0.2,0.6,5.6
LA Clippers,Luc Mbah a Moute,10,http://www.espn.com/nba/player/_/id/3451,PF,31,203.2,104.07,UCLA,"4,320,500",7.5,3.0,0.4,10.29,6.4,4.1,0.4,682,23.4,2.5-5.4,.455,0.3-0.9,.336,1.2-1.8,.661,0.9,0.4,0.9,0.9,6.4
LA Clippers,Johnathan Motley,1,http://www.espn.com/nba/player/_/id/3059306,PF,23,208.28,104.07,Baylor,Not signed,8.7,4.5,0.2,17.31,8.7,4.5,0.2,11,16.0,3.6-6.8,.533,0.1-0.5,.167,1.4-2.5,.536,0.6,0.2,0.3,0.8,8.7
LA Clippers,Jerome Robinson,0,http://www.espn.com/nba/player/_/id/3943606,SG,21,195.58,85.97,Boston College,"3,046,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA Clippers,Mike Scott,6,http://www.espn.com/nba/player/_/id/6622,PF,30,203.2,107.24,Virginia,"4,320,500",8.8,3.3,0.1,13.72,7.4,3.0,0.1,357,16.0,2.9-6.1,.476,0.7-2.1,.351,0.9-1.2,.762,0.9,0.1,0.3,0.8,7.4
LA Clippers,Milos Teodosic,1,http://www.espn.com/nba/player/_/id/4192,PG,31,195.58,88.69,-,"6,300,000",9.5,4.6,2.8,11.67,9.5,4.6,2.8,45,25.2,3.4-8.0,.419,2.0-5.2,.379,0.9-1.0,.848,4.6,0.1,0.5,2.2,9.5
LA Clippers,Sindarius Thornwell,1,http://www.espn.com/nba/player/_/id/3064539,SG,23,195.58,97.29,South Carolina,"1,378,242",3.9,0.9,1.9,8.22,3.9,0.9,1.9,73,15.8,1.4-3.2,.429,0.3-0.8,.377,0.8-1.2,.670,0.9,0.3,0.7,0.7,3.9
LA Clippers,Tyrone Wallace,1,http://www.espn.com/nba/player/_/id/3002137,SG,24,195.58,89.59,California,"1,349,383",9.7,2.4,3.5,10.18,9.7,2.4,3.5,30,28.4,3.7-8.2,.445,0.3-1.3,.250,2.0-2.6,.782,2.4,0.4,0.9,1.5,9.7
LA Clippers,Lou Williams,13,http://www.espn.com/nba/player/_/id/2799,SG,31,185.42,79.19,-,"8,000,000",22.6,5.3,2.5,20.29,13.7,3.1,2.1,861,24.4,4.4-10.5,.420,1.3-3.8,.348,3.6-4.3,.834,3.1,0.2,0.9,1.6,13.7
Los Angeles Lakers,Lonzo Ball,1,http://www.espn.com/nba/player/_/id/4066421,PG,20,198.12,85.97,UCLA,"7,461,960",10.2,7.2,6.9,12.53,10.2,7.2,6.9,52,34.2,3.9-10.8,.360,1.7-5.7,.305,0.6-1.4,.451,7.2,0.8,1.7,2.6,10.2
Los Angeles Lakers,Michael Beasley,10,http://www.espn.com/nba/player/_/id/3418,SF,29,205.74,106.33,Kansas State,"3,500,000",13.2,1.7,5.6,17.89,12.7,1.3,4.8,583,23.4,5.2-11.1,.464,0.5-1.4,.352,1.8-2.4,.760,1.3,0.5,0.6,1.7,12.7
Los Angeles Lakers,Joel Berry II,0,http://www.espn.com/nba/player/_/id/3138155,PG,23,182.88,88.24,North Carolina,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles Lakers,Isaac Bonga,0,http://www.espn.com/nba/player/_/id/4348697,PG,18,203.2,81.45,-,"1,000,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles Lakers,Kentavious Caldwell-Pope,5,http://www.espn.com/nba/player/_/id/2581018,SG,25,195.58,92.76,Georgia,"12,000,000",13.4,2.2,5.2,13.22,12.0,1.7,3.4,388,30.8,4.3-10.6,.409,1.6-4.8,.345,1.7-2.1,.786,1.7,0.2,1.2,1.1,12.0
Los Angeles Lakers,Jeffrey Carroll,0,http://www.espn.com/nba/player/_/id/3059329,SG,23,198.12,95.02,Oklahoma State,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles Lakers,Alex Caruso,1,http://www.espn.com/nba/player/_/id/2991350,SG,24,195.58,84.16,Texas A&M,Not signed,3.6,2.0,1.8,8.72,3.6,2.0,1.8,37,15.2,1.4-3.1,.431,0.4-1.2,.302,0.6-0.8,.700,2.0,0.3,0.6,1.1,3.6
Los Angeles Lakers,Josh Hart,1,http://www.espn.com/nba/player/_/id/3062679,SG,23,195.58,97.29,Villanova,"1,655,160",7.9,1.3,4.2,12.25,7.9,1.3,4.2,63,23.2,2.8-6.0,.469,1.2-3.1,.396,1.0-1.5,.702,1.3,0.3,0.7,0.7,7.9
Los Angeles Lakers,Brandon Ingram,2,http://www.espn.com/nba/player/_/id/3913176,SF,21,205.74,85.97,Duke,"5,757,120",16.1,3.9,5.3,13.90,12.2,2.9,4.6,138,30.8,4.6-10.5,.438,0.7-2.1,.329,2.4-3.6,.655,2.9,0.6,0.7,1.9,12.2
Los Angeles Lakers,LeBron James,15,http://www.espn.com/nba/player/_/id/1966,SF,33,203.2,113.12,-,"35,654,150",27.5,9.1,8.6,28.65,27.2,7.2,7.4,1143,38.8,9.9-19.6,.504,1.4-4.1,.344,6.0-8.1,.739,7.2,0.8,1.6,3.5,27.2
Los Angeles Lakers,Kyle Kuzma,1,http://www.espn.com/nba/player/_/id/3134907,PF,23,205.74,99.55,Utah,"1,689,840",16.1,6.3,0.4,14.22,16.1,6.3,0.4,77,31.2,6.1-13.5,.450,2.1-5.6,.366,1.9-2.7,.707,1.8,0.4,0.6,1.8,16.1
Los Angeles Lakers,JaVale McGee,10,http://www.espn.com/nba/player/_/id/3452,C,30,213.36,122.17,Nevada,"1,512,601",4.8,2.6,0.9,22.39,7.5,4.8,1.5,558,16.7,3.2-5.7,.559,0.0-0.0,.067,1.1-2.0,.582,0.3,1.5,0.4,0.9,7.5
Los Angeles Lakers,Sviatoslav Mykhailiuk,0,http://www.espn.com/nba/player/_/id/3133602,SF,21,203.2,92.76,Kansas,"1,487,694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles Lakers,Rajon Rondo,12,http://www.espn.com/nba/player/_/id/3026,PG,32,185.42,84.16,Kentucky,"9,000,000",8.3,8.2,4.0,15.28,10.5,8.5,4.8,779,31.8,4.4-9.5,.463,0.4-1.2,.309,1.3-2.2,.604,8.5,0.1,1.7,2.9,10.5
Los Angeles Lakers,Lance Stephenson,8,http://www.espn.com/nba/player/_/id/4244,SG,28,198.12,104.07,Cincinnati,"4,449,000",9.2,2.9,5.2,12.47,8.8,3.0,4.3,440,24.4,3.5-7.9,.446,0.6-2.1,.303,1.1-1.6,.685,3.0,0.1,0.7,1.7,8.8
Los Angeles Lakers,Moritz Wagner,0,http://www.espn.com/nba/player/_/id/3917314,C,21,210.82,110.86,Michigan,"1,762,080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles Lakers,Travis Wear,2,http://www.espn.com/nba/player/_/id/2488674,SF,28,205.74,99.1,UCLA,Not signed,4.4,0.4,2.2,6.90,4.0,0.7,2.1,68,13.2,1.6-4.1,.388,0.4-1.1,.364,0.4-0.5,.824,0.7,0.2,0.3,0.6,4.0
Los Angeles Lakers,Ivica Zubac,2,http://www.espn.com/nba/player/_/id/4017837,C,21,215.9,108.6,-,"1,544,951",3.7,2.9,0.3,15.38,5.5,3.5,0.6,81,12.6,2.3-4.4,.519,0.0-0.0,.000,0.9-1.2,.710,0.7,0.6,0.3,0.7,5.5
Phoenix Suns,Ryan Anderson,10,http://www.espn.com/nba/player/_/id/3412,PF,30,208.28,108.6,California,"20,421,546",9.3,5.0,0.3,12.60,12.8,5.4,0.3,622,26.4,4.4-10.4,.423,2.1-5.5,.382,1.9-2.2,.855,0.9,0.3,0.5,1.0,12.8
Phoenix Suns,Trevor Ariza,14,http://www.espn.com/nba/player/_/id/2426,SF,33,203.2,97.29,UCLA,"15,000,000",11.7,1.6,4.4,11.80,10.5,2.1,4.8,942,29.5,3.8-8.9,.424,1.4-4.0,.353,1.6-2.2,.723,2.1,0.3,1.5,1.4,10.5
Phoenix Suns,Darrell Arthur,9,http://www.espn.com/nba/player/_/id/3413,PF,30,205.74,106.33,Kansas,"7,464,912",2.8,0.8,0.2,8.46,6.5,3.5,0.6,503,17.8,2.7-6.2,.444,0.3-0.9,.352,0.7-0.9,.765,0.8,0.6,0.6,0.8,6.5
Phoenix Suns,Deandre Ayton,0,http://www.espn.com/nba/player/_/id/4278129,C,20,215.9,113.12,Arizona,"8,165,160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Suns,Dragan Bender,2,http://www.espn.com/nba/player/_/id/4011991,PF,20,215.9,101.81,-,"4,661,280",6.5,4.4,0.6,7.11,5.4,3.7,0.6,125,21.2,2.0-5.2,.378,1.2-3.4,.345,0.3-0.5,.694,1.2,0.6,0.3,1.2,5.4
Phoenix Suns,Devin Booker,3,http://www.espn.com/nba/player/_/id/3136193,SG,21,198.12,95.02,Kentucky,"3,314,365",24.9,4.7,4.5,18.12,19.8,3.5,3.3,208,32.2,6.9-16.1,.426,1.9-5.2,.365,4.2-4.9,.849,3.5,0.3,0.8,2.9,19.8
Phoenix Suns,Mikal Bridges,0,http://www.espn.com/nba/player/_/id/3147657,SF,22,200.66,95.02,Villanova,"3,552,960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Suns,Isaiah Canaan,5,http://www.espn.com/nba/player/_/id/2490589,PG,27,182.88,90.5,Murray State,"1,512,601",8.6,3.8,2.3,13.52,8.4,1.8,1.9,205,20.3,2.7-7.3,.369,1.6-4.6,.351,1.4-1.7,.839,1.8,0.1,0.6,1.1,8.4
Phoenix Suns,Tyson Chandler,17,http://www.espn.com/nba/player/_/id/984,C,36,215.9,108.6,-,"13,585,000",6.5,9.1,0.6,14.26,8.6,9.4,1.2,1079,28.3,3.2-5.4,.596,0.0-0.0,.000,2.2-3.3,.646,0.9,1.2,0.6,1.5,8.6
Phoenix Suns,Troy Daniels,5,http://www.espn.com/nba/player/_/id/2489530,SG,27,193.04,92.76,Virginia Commonwealth,"3,258,539",8.9,0.6,1.6,9.86,7.1,0.6,1.3,241,15.6,2.4-6.0,.401,1.8-4.5,.404,0.5-0.6,.821,0.6,0.1,0.3,0.6,7.1
Phoenix Suns,Shaquille Harrison,1,http://www.espn.com/nba/player/_/id/2991274,PG,25,193.04,85.97,Tulsa,"1,378,242",6.6,2.4,2.7,15.67,6.6,2.4,2.7,23,16.7,2.6-5.4,.476,0.3-1.1,.231,1.2-1.7,.737,2.4,0.3,1.1,1.0,6.6
Phoenix Suns,Richaun Holmes,3,http://www.espn.com/nba/player/_/id/2993370,PF,24,208.28,106.33,Bowling Green,"1,600,520",6.5,4.4,0.6,17.47,7.4,4.2,0.8,156,16.9,3.1-5.6,.547,0.3-1.0,.257,1.0-1.5,.687,1.0,0.8,0.5,0.7,7.4
Phoenix Suns,Josh Jackson,1,http://www.espn.com/nba/player/_/id/4066297,SF,21,203.2,90.5,Kansas,"6,041,520",13.1,1.5,4.6,11.91,13.1,1.5,4.6,77,25.4,5.1-12.1,.417,0.7-2.8,.263,2.3-3.6,.634,1.5,0.5,1.0,1.9,13.1
Phoenix Suns,George King,0,http://www.espn.com/nba/player/_/id/3064320,SF,24,198.12,99.55,Colorado,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Suns,De'Anthony Melton,0,http://www.espn.com/nba/player/_/id/4066436,PG,20,193.04,90.5,USC,"949,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Suns,Elie Okobo,0,http://www.espn.com/nba/player/_/id/4230550,PG,20,187.96,81.45,-,"1,238,464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenix Suns,Davon Reed,1,http://www.espn.com/nba/player/_/id/3059262,SG,23,198.12,95.02,Miami (FL),"1,378,242",3.0,0.6,1.9,4.78,3.0,0.6,1.9,21,11.5,1.0-3.6,.289,0.5-1.8,.289,0.4-0.6,.667,0.6,0.1,0.5,0.5,3.0
Phoenix Suns,TJ Warren,4,http://www.espn.com/nba/player/_/id/2982334,SF,25,203.2,97.29,North Carolina State,"11,750,000",19.6,1.3,5.1,17.71,13.7,1.1,4.1,218,26.9,5.8-11.6,.500,0.4-1.3,.283,1.7-2.3,.754,1.1,0.5,0.9,0.9,13.7
Sacramento Kings,Brandon Austin,0,http://www.espn.com/nba/player/_/id/3059363,G,24,198.12,83.71,-,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento Kings,Marvin Bagley III,0,http://www.espn.com/nba/player/_/id/4277848,PF,19,210.82,105.88,Duke,"7,305,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento Kings,Nemanja Bjelica,3,http://www.espn.com/nba/player/_/id/4269,PF,30,208.28,105.88,-,"6,500,000",6.8,4.1,0.2,12.62,6.1,3.8,0.3,192,18.9,2.3-5.0,.449,0.9-2.5,.371,0.6-0.8,.752,1.3,0.3,0.6,0.8,6.1
Sacramento Kings,Bogdan Bogdanovic,1,http://www.espn.com/nba/player/_/id/3037789,SG,26,198.12,92.76,-,"9,000,000",11.8,3.3,2.9,13.51,11.8,3.3,2.9,78,27.9,4.4-9.9,.446,1.7-4.2,.392,1.3-1.5,.840,3.3,0.2,0.9,1.6,11.8
Sacramento Kings,Willie Cauley-Stein,3,http://www.espn.com/nba/player/_/id/2991282,C,25,213.36,108.6,Kentucky,"4,696,875",12.8,7.0,0.9,17.61,9.4,5.6,0.8,214,22.8,3.9-7.4,.524,0.0-0.1,.188,1.6-2.4,.641,1.4,0.8,0.8,1.0,9.4
Sacramento Kings,Yogi Ferrell,2,http://www.espn.com/nba/player/_/id/2991018,PG,25,182.88,81.45,Indiana,"3,000,000",10.2,2.5,3.0,11.48,10.2,2.9,2.8,128,27.2,3.7-8.8,.419,1.6-4.2,.378,1.2-1.5,.813,2.9,0.1,0.8,1.2,10.2
Sacramento Kings,De'Aaron Fox,1,http://www.espn.com/nba/player/_/id/4066259,PG,20,190.5,79.19,Kentucky,"5,470,920",11.6,4.4,2.8,11.28,11.6,4.4,2.8,73,27.8,4.5-10.9,.412,0.6-2.1,.307,1.9-2.7,.723,4.4,0.3,1.0,2.4,11.6
Sacramento Kings,Wenyen Gabriel,0,http://www.espn.com/nba/player/_/id/4066264,F,21,205.74,92.76,Kentucky,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento Kings,Harry Giles,0,http://www.espn.com/nba/player/_/id/4065649,PF,20,208.28,108.6,Duke,"2,207,040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sacramento Kings,Buddy Hield,2,http://www.espn.com/nba/player/_/id/2990984,SG,24,193.04,96.83,Oklahoma,"3,844,760",13.5,1.9,3.8,16.13,12.0,1.7,3.6,162,24.1,4.6-10.5,.437,2.0-4.9,.412,0.8-1.0,.860,1.7,0.2,0.8,1.4,12.0
Sacramento Kings,Justin Jackson,1,http://www.espn.com/nba/player/_/id/3138156,SF,23,203.2,95.02,North Carolina,"2,807,880",6.7,1.1,2.8,9.25,6.7,1.1,2.8,68,22.1,2.7-6.2,.442,0.8-2.7,.308,0.4-0.5,.722,1.1,0.2,0.4,0.6,6.7
Sacramento Kings,Kosta Koufos,10,http://www.espn.com/nba/player/_/id/3444,C,29,213.36,110.86,Ohio State,"8,739,500",6.7,6.6,0.5,17.56,5.8,5.1,0.8,644,16.7,2.6-4.9,.537,0.0-0.0,.000,0.6-1.1,.587,0.5,0.8,0.4,0.7,5.8
Sacramento Kings,Skal Labissiere,2,http://www.espn.com/nba/player/_/id/3936296,PF,22,210.82,106.33,Kentucky,"1,544,951",8.7,4.8,0.8,14.33,8.7,4.8,0.7,93,19.9,3.5-7.3,.476,0.2-0.6,.356,1.6-2.1,.766,1.1,0.7,0.4,1.2,8.7
Sacramento Kings,Frank Mason III,1,http://www.espn.com/nba/player/_/id/3059315,PG,24,180.34,85.97,Kansas,"1,378,242",7.9,2.8,2.5,13.02,7.9,2.8,2.5,52,18.9,2.8-7.3,.379,0.6-1.7,.360,1.8-2.2,.817,2.8,0.2,0.7,1.3,7.9
Sacramento Kings,Ben McLemore,5,http://www.espn.com/nba/player/_/id/2578213,SG,25,195.58,90.95,Kansas,"5,460,000",7.5,0.9,2.5,9.73,9.1,1.2,2.6,349,24.5,3.3-7.9,.417,1.2-3.4,.351,1.3-1.6,.785,1.2,0.2,0.7,1.3,9.1
Sacramento Kings,Zach Randolph,17,http://www.espn.com/nba/player/_/id/1017,PF,37,205.74,113.12,Michigan State,"11,692,308",14.5,6.7,0.2,17.41,16.6,9.1,0.3,1116,31.0,6.7-14.1,.471,0.2-0.7,.273,3.1-4.1,.764,1.8,0.3,0.7,2.1,16.6
Sacramento Kings,Iman Shumpert,7,http://www.espn.com/nba/player/_/id/6468,SG,28,195.58,97.29,Georgia Tech,"11,011,234",4.4,1.2,2.9,6.42,7.3,1.9,3.4,384,25.4,2.7-6.8,.396,1.0-3.0,.338,0.9-1.2,.763,1.9,0.2,1.2,1.2,7.3
